Tc,inlet feed temprature,feed salinity,feed flow rate,coolant flow rate,flux
5,40,2,4.6,3.65,24.51602776
5,50,2,4.6,3.65,37.91709896
5,60,2,4.6,3.65,51.54711087
5,70,2,4.6,3.65,64.2671026
5,80,2,4.6,3.65,80.1735049
5,90,2,4.6,3.65,96.99299013
10,40,2,4.6,3.65,18.87789873
10,50,2,4.6,3.65,32.83746913
10,60,2,4.6,3.65,47.95754124
10,70,2,4.6,3.65,66.32588634
10,80,2,4.6,3.65,81.90959324
10,90,2,4.6,3.65,92.85331436
15,40,2,4.6,3.65,17.52177829
15,50,2,4.6,3.65,29.12520553
15,60,2,4.6,3.65,48.892151
15,70,2,4.6,3.65,61.10782146
15,80,2,4.6,3.65,76.3855342
15,90,2,4.6,3.65,89.82486484
20,40,2,4.6,3.65,17.31242839
20,50,2,4.6,3.65,30.72202952
20,60,2,4.6,3.65,45.06099869
20,70,2,4.6,3.65,60.14320304
20,80,2,4.6,3.65,73.73867778
20,90,2,4.6,3.65,89.37876219
25,40,2,4.6,3.65,11.47634218
25,50,2,4.6,3.65,26.13665263
25,60,2,4.6,3.65,36.67713193
25,70,2,4.6,3.65,48.34120155
25,80,2,4.6,3.65,66.37182054
25,90,2,4.6,3.65,75.226452
5,40,43,4.65,3.65,23.78596988
5,50,43,4.65,3.65,36.97331147
5,60,43,4.65,3.65,50.9490085
5,70,43,4.65,3.65,65.97882809
5,80,43,4.65,3.65,79.69173997
5,90,43,4.65,3.65,97.35276577
25,40,43,4.65,3.65,10.83271209
25,50,43,4.65,3.65,18.23057999
25,60,43,4.65,3.65,30.89123304
25,70,43,4.65,3.65,44.60489041
25,80,43,4.65,3.65,57.26517072
25,90,43,4.65,3.65,74.39988072
15,40,43,4.65,3.65,16.91479052
15,50,43,4.65,3.65,28.78634263
15,60,43,4.65,3.65,46.44662293
15,70,43,4.65,3.65,60.68622335
15,80,43,4.65,3.65,76.24161324
15,90,43,4.65,3.65,90.21880125
25,50,43,2.5,3.65,14.7555093
25,50,43,3.5,3.65,16.77725118
25,50,43,4.6,3.65,19.17223339
25,70,43,2.5,3.65,34.09172093
25,70,43,3.5,3.65,35.73459716
25,70,43,4.6,3.65,43.6272097
25,90,43,2.5,3.65,53.99721546
25,90,43,3.5,3.65,60
25,90,43,4.6,3.65,72.06322866
25,50,2,4.65,2,18.29896907
25,50,2,4.65,2.9,20.10309278
25,50,2,4.65,3.65,21.13402062
25,70,2,4.65,2,42.5257732
25,70,2,4.65,2.9,43.81443299
25,70,2,4.65,3.65,44.84536082
25,90,2,4.65,2,73.71134021
25,90,2,4.65,2.9,74.48453608
25,90,2,4.65,3.65,75.77319588
25,90,43,2.5,2,51.52654164
25,90,43,3.5,2,66.65448188
25,90,43,4.65,2,73.67450731
