T©,P(kPa),concentration(M),Flow Rate(L/h),flux(l/m^2h)
319.2,5.1,1,50,13.5
319.2,5.1,1.1,50,13.4
319.2,5.1,1.2,50,13.2
319.2,5.1,1.3,50,13.2
319.2,5.1,1.4,50,13.1
319.2,5.1,1.5,50,13
319.2,5.1,1.6,50,13
319.2,5.1,1.7,50,12.8
319.2,5.1,1.8,50,12.7
319.2,5.1,1.9,50,12.5
319.2,5.1,2,50,12.5
319.2,5.1,2.1,50,12.4
319.2,5.1,2.2,50,12.3
319.2,5.1,2.3,50,12.2
319.2,5.1,2.4,50,12.1
319.2,5.1,2.5,50,12.1
319.2,5.1,2.7,50,11.9
319.2,5.1,2.8,50,11.8
319.2,5.1,3,50,11.5
313.7,4.4,1,50,9.5
313.7,4.4,1.1,50,9.5
313.7,4.4,1.2,50,9.4
313.7,4.4,1.3,50,9.3
313.7,4.4,1.4,50,9.2
313.7,4.4,1.5,50,9.1
313.7,4.4,1.6,50,9.1
313.7,4.4,1.7,50,9
313.7,4.4,1.8,50,8.9
313.7,4.4,1.9,50,8.7
313.7,4.4,2,50,8.7
313.7,4.4,2.1,50,8.6
313.7,4.4,2.2,50,8.5
313.7,4.4,2.3,50,8.3
313.7,4.4,2.4,50,8.3
313.7,4.4,2.5,50,8.1
313.7,4.4,2.7,50,8.1
313.7,4.4,2.8,50,7.9
313.7,4.4,3,50,7.8
310.2,3.9,1,50,8.4
310.2,3.9,1.1,50,8.2
310.2,3.9,1.2,50,8.2
310.2,3.9,1.3,50,8.1
310.2,3.9,1.4,50,8.1
310.2,3.9,1.5,50,8.1
310.2,3.9,1.6,50,8
310.2,3.9,1.7,50,8
310.2,3.9,1.8,50,7.9
310.2,3.9,1.9,50,7.9
310.2,3.9,2,50,7.8
310.2,3.9,2.1,50,7.8
310.2,3.9,2.2,50,7.8
310.2,3.9,2.3,50,7.7
310.2,3.9,2.4,50,7.6
310.2,3.9,2.5,50,7.4
310.2,3.9,2.7,50,7.1
310.2,3.9,2.8,50,7
310.2,3.9,3,50,6.9
321.9,6,1,100,15.8
321.9,6,1.1,100,15.8
321.9,6,1.2,100,15.5
321.9,6,1.3,100,15.3
321.9,6,1.4,100,15.2
321.9,6,1.5,100,15.1
321.9,6,1.6,100,15.1
321.9,6,1.7,100,14.8
321.9,6,1.8,100,14.8
321.9,6,1.9,100,14.7
321.9,6,2,100,14.7
321.9,6,2.1,100,14.7
321.9,6,2.2,100,14.4
321.9,6,2.3,100,14.3
321.9,6,2.4,100,14.2
321.9,6,2.5,100,14.1
321.9,6,2.7,100,14
321.9,6,2.8,100,13.9
321.9,6,3,100,13.8
315.7,5,1,100,11.4
315.7,5,1.1,100,11.3
315.7,5,1.2,100,11.1
315.7,5,1.3,100,11.1
315.7,5,1.4,100,11
315.7,5,1.5,100,10.9
315.7,5,1.6,100,10.8
315.7,5,1.7,100,10.6
315.7,5,1.8,100,10.5
315.7,5,1.9,100,10.4
315.7,5,2,100,10.3
315.7,5,2.1,100,10.2
315.7,5,2.2,100,10.1
315.7,5,2.3,100,10.1
315.7,5,2.4,100,9.9
315.7,5,2.5,100,9.9
315.7,5,2.7,100,9.8
315.7,5,2.8,100,9.6
315.7,5,3,100,9.3
310.2,4,1,100,9.5
310.2,4,1.1,100,9.3
310.2,4,1.2,100,9.2
310.2,4,1.3,100,9.2
310.2,4,1.4,100,9
310.2,4,1.5,100,9.1
310.2,4,1.6,100,9
310.2,4,1.7,100,9
310.2,4,1.8,100,8.9
310.2,4,1.9,100,8.7
310.2,4,2,100,8.7
310.2,4,2.1,100,8.7
310.2,4,2.2,100,8.6
310.2,4,2.3,100,8.5
310.2,4,2.4,100,8.3
310.2,4,2.5,100,8.1
310.2,4,2.7,100,8
310.2,4,2.8,100,7.9
310.2,4,3,100,7.4
